source_id,title,publisher,url,source_type,geography,publication_date,accessed_date,authority_level,workstreams_used,key_claims_supported,limitations,archive_url_if_any
SRC-0001,Hea-lth.co.il National Premium Medical Portal and Marketplace — owner commission,Owner / project sponsor,conversation-file:file_00000000ee78720abcafcdb8a7f2b87f,Owner brief,Israel,2026-07-10,2026-07-10,C1,All; especially program scope and deliverable definitions,"Project ambition, constraints, required workstreams, deliverables, evidence rules, continuation protocol","Commission and requirements, not independent evidence of market facts or current operating performance.",
SRC-0002,Hea-lth.co.il homepage,Hea-lth.co.il,https://hea-lth.co.il/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35","Site positioning, visible verticals, private-care coordination framing, emergency disclaimer","Public page only; no traffic, conversion, reviewer, or inventory verification.",
SRC-0003,Doctor and clinic index,Hea-lth.co.il,https://hea-lth.co.il/doctor-clinic-index/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35","Developing provider-index concept, search/filter journey, disclaimers and privacy framing","Does not establish the actual number, licensing status, freshness, or availability of providers.",
SRC-0004,Botox price guide,Hea-lth.co.il,https://hea-lth.co.il/botox-price/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing price-guide template and broad non-binding price language,"Public price observations require source set, sample size, geography, inclusions, date, and methodology.",
SRC-0005,MRI and CT appointment page,Hea-lth.co.il,https://hea-lth.co.il/mri-ct-appointment/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing diagnostic-coordination page and referral/disclaimer framing,"Does not verify availability, provider contracts, price, or clinical appropriateness.",
SRC-0006,Private laser hair removal page,Hea-lth.co.il,https://hea-lth.co.il/laser-hair-removal-private/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing aesthetics decision/price content surface,Price and suitability statements require evidence ledger and reviewer verification.,
SRC-0007,Premium health services page,Hea-lth.co.il,https://hea-lth.co.il/premium-health-services/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing premium-health umbrella surface,"Scope is broad; supply, payer routes, and differentiation require validation.",
SRC-0008,Breast augmentation cost page,Hea-lth.co.il,https://hea-lth.co.il/breast-augmentation-cost/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing surgery price/decision page,"High-risk YMYL; source, specialist review, price methodology, and conversion controls require audit.",
SRC-0009,Nose surgery cost page,Hea-lth.co.il,https://hea-lth.co.il/nose-surgery-cost/,Current public website,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Existing surgery price/decision page,"High-risk YMYL; source, specialist review, price methodology, and conversion controls require audit.",
SRC-0010,Private doctor appointment page,Hea-lth.co.il,https://hea-lth.co.il/private-doctor-appointment/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential private-doctor money page and user journey,Page fetch was not confirmed in Wave 0; content and indexability require crawl.,
SRC-0011,Medical second-opinion page,Hea-lth.co.il,https://hea-lth.co.il/medical-second-opinion/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential second-opinion money page and user journey,Page fetch was not confirmed in Wave 0; content and indexability require crawl.,
SRC-0012,Health-insurance refund page,Hea-lth.co.il,https://hea-lth.co.il/health-insurance-refund/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential reimbursement/navigation page,Page fetch was not confirmed in Wave 0; payer claims require current primary sources.,
SRC-0013,Hair-transplant consultation page,Hea-lth.co.il,https://hea-lth.co.il/hair-transplant-consultation/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential hair-transplant consultation/money page,Page fetch was not confirmed in Wave 0; content and indexability require crawl.,
SRC-0014,Aesthetic-medicine treatments page,Hea-lth.co.il,https://hea-lth.co.il/aesthetic-medicine-treatments/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential aesthetics hub,"Page fetch was not confirmed in Wave 0; content, canonicals, and internal links require crawl.",
SRC-0015,Plastic-surgery consultation page,Hea-lth.co.il,https://hea-lth.co.il/plastic-surgery-consultation/,Link discovered on current site,Israel,DATA REQUIRED,2026-07-10,B1,"2, 4, 7, 10, 13–15, 19, 25–26, 34–35",Potential plastic-surgery hub/money page,"Page fetch was not confirmed in Wave 0; content, canonicals, and internal links require crawl.",
SRC-0016,AI features and your website,Google Search Central,https://developers.google.com/search/docs/appearance/ai-features,Official documentation,Global,2025-12-10,2026-07-10,A2,"4, 7, 11–12, 22, 30, 32",Ordinary SEO fundamentals apply to AI features; indexed/snippet-eligible pages are required; no special AI file or schema is required; Search Console reports AI-feature search traffic within Web.,"Google documents eligibility and controls, not ranking guarantees or a complete cross-engine GEO strategy.",
SRC-0017,Spam policies for Google Web Search,Google Search Central,https://developers.google.com/search/docs/essentials/spam-policies,Official policy,Global,Current page; exact revision date DATA REQUIRED,2026-07-10,A2,"4, 7, 8–12, 30, 35","Scaled-content, doorway, link, and other spam controls relevant to page-generation and marketplace listings.",Policy interpretation must be applied to the exact implementation; ranking outcomes are not guaranteed.,
SRC-0018,WordPress Releases,WordPress.org,https://wordpress.org/news/category/releases/,Official release log,Global,2026-07-09,2026-07-10,B1,"22, 34",WordPress 7.0.1 maintenance release was published 9 July 2026; WordPress 7.0 was published 20 May 2026.,"Does not establish the live site version, compatibility, security posture, or suitability of any plugin.",
SRC-0019,Interactivity API Reference,WordPress Developer Resources,https://developer.wordpress.org/block-editor/reference-guides/interactivity-api/,Official developer documentation,Global,Current documentation; exact revision date DATA REQUIRED,2026-07-10,B1,"22, 25",Official API reference for selective WordPress front-end interactivity.,"Implementation maturity, browser support, performance, and plugin compatibility must be tested on the chosen stack.",
SRC-0020,Block Bindings API,WordPress Developer Resources,https://developer.wordpress.org/block-editor/reference-guides/block-api/block-bindings/,Official developer documentation,Global,Current documentation; exact revision date DATA REQUIRED,2026-07-10,B1,"22, 25",Official mechanism for connecting block attributes to dynamic data sources.,"Exact production use depends on WordPress version, data model, editor workflow, and custom implementation.",
SRC-0021,Abilities API,WordPress Developer Resources,https://developer.wordpress.org/apis/abilities-api/,Official developer documentation,Global,Current documentation; exact revision date DATA REQUIRED,2026-07-10,B1,"20, 22, 25","Official WordPress API for discoverable, permission-aware abilities and tool integrations.","New capability; security, permissions, observability, and vendor-neutral design require architecture review.",
SRC-0022,High-Performance Order Storage,WooCommerce,https://woocommerce.com/document/high-performance-order-storage/,Official product documentation,Global,Current documentation; exact revision date DATA REQUIRED,2026-07-10,B1,"17, 22","HPOS uses dedicated order tables designed for ecommerce scalability, reliability, and simpler order storage.",Extension compatibility and migration behavior must be tested; does not validate the complete B2B/B2C marketplace design.,
SRC-0023,WooCommerce Store API,WooCommerce Developer Documentation,https://developer.woocommerce.com/docs/apis/store-api/,Official developer documentation,Global,Current documentation; exact revision date DATA REQUIRED,2026-07-10,B1,"16–17, 22–23","Public customer-facing cart, checkout, and product endpoints; no access to other customers' sensitive data.","Not a substitute for authorization design, back-office APIs, privacy review, payments, tax, or fraud controls.",
SRC-0024,Ethics and governance of artificial intelligence for health,World Health Organization,https://www.who.int/publications/i/item/9789240029200,International health guidance,Global,2021-06-28,2026-07-10,A2,"20, 24, 33, 35",Health AI governance should place ethics and human rights at the center and hold stakeholders accountable.,High-level guidance; not an Israeli legal determination or a product-specific clinical validation plan.,
SRC-0025,AI Risk Management Framework,National Institute of Standards and Technology,https://www.nist.gov/itl/ai-risk-management-framework,International risk framework,United States / globally applicable,2023-01-26; revision in progress as of 2026-07-10,2026-07-10,A2,"20, 24, 32–35","Voluntary framework for incorporating trustworthiness into AI design, development, use, and evaluation.",AI RMF 1.0 is under revision; project must monitor updates and profile-specific guidance.,
SRC-0026,OWASP Top 10 for Large Language Model Applications,OWASP Foundation,https://owasp.org/www-project-top-10-for-large-language-model-applications/,Security guidance,Global,Current project; exact revision date DATA REQUIRED,2026-07-10,A2,"20, 22, 24, 35","Prompt injection, insecure output handling, sensitive-information disclosure, excessive agency, and other GenAI risks.",Community guidance; threat model and controls must be tailored to the actual architecture.,
SRC-0027,Web Content Accessibility Guidelines (WCAG) 2.2,W3C,https://www.w3.org/TR/WCAG22/,Web standard,Global,2023-10-05,2026-07-10,A2,"22, 24–26, 32, 35",Accessibility success criteria and conformance framework for web interfaces.,Israeli statutory applicability and the target conformance level require qualified legal/accessibility review.,
SRC-0028,ICD / ICF / ICHI Digital Version Terms of Use and License Agreement,World Health Organization,https://icd.who.int/en/docs/icd11-license.pdf,Terminology license,Global,© WHO 2020; current access 2026-07-10,2026-07-10,A2,8,Digital classifications are licensed under CC BY-ND 3.0 IGO; adaptations are restricted and separate permission may be required.,"Legal interpretation, Hebrew translation, derived mappings, display, and distribution require license-specific review.",
SRC-0029,National Library of Medicine Terms and Conditions — MeSH,U.S. National Library of Medicine,https://www.nlm.nih.gov/databases/download/terms_and_conditions_mesh.html,Terminology terms and conditions,United States / global reuse,2018-10-04 last reviewed,2026-07-10,A2,8,MeSH data is freely provided with attribution/current-version conditions; MeSH translation files are not covered by these terms.,Terms may change; Hebrew translation or third-party translation rights require separate analysis.,
SRC-0030,Zocdoc overview,Wikipedia contributors,https://en.wikipedia.org/wiki/Zocdoc,Secondary discovery source,United States,Current page; exact revision date DATA REQUIRED,2026-07-10,D,"2, 13, 27","Discovery-only baseline describing appointment discovery/booking, comparison, ratings, and provider-paid model.","Not sufficient for current product, pricing, scale, verification, or monetization claims; replace with official sources in Wave 2.",
SRC-0031,RealSelf overview,Wikipedia contributors,https://en.wikipedia.org/wiki/RealSelf,Secondary discovery source,United States / global,Current page; exact revision date DATA REQUIRED,2026-07-10,D,"2, 13, 19, 27",Discovery-only baseline describing aesthetics treatment/provider marketplace and reviews.,"Not sufficient for current scale, verification, pricing, editorial, or business-model claims; replace with official sources in Wave 2.",
SRC-0032,Israeli Ministry of Health legal/regulatory source set,Ministry of Health,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"1, 3, 13, 18, 24","Provider licensing, specialties, medical advertising, devices/AMAR, drugs/pharmacy, public health data","Official source URLs and exact legal instruments must be located, versioned, and checked by qualified Israeli advisers.",
SRC-0033,Privacy Protection Law and Amendment 13 source set,Israeli legislation / Privacy Protection Authority,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"15, 20, 23–24, 32, 35","Privacy roles, database obligations, consent, security, direct marketing, transfer, data subject rights","Exact consolidated text, effective dates, regulations, guidance, and applicability to the operating model remain DATA REQUIRED.",
SRC-0034,Israeli accessibility obligations source set,Israeli legislation / competent authority,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"22, 24–26, 35","Local web accessibility duties, exemptions, statement and remediation obligations",WCAG is a technical baseline; Israeli legal scope and required standard remain DATA REQUIRED.,
SRC-0035,"Israeli drug index, pharmacy and medicine-price source set",Ministry of Health / official drug sources,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"18, 24","Drug reference, prescription/OTC boundary, price regulation, shortages, online pharmacy rules",No medicine-commerce recommendation may be made until exact licensed model and current official rules are verified.,
SRC-0036,Israeli medical-device and AMAR source set,Ministry of Health / AMAR,DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1,"16–18, 21, 24","Device registration/status, importer/manufacturer duties, advertising and sale constraints","Category, intended use, claims, professional-only status, and operator role require product-level verification.",
SRC-0037,Israeli payer/SHABAN/private-insurance source set,"HMOs, Ministry of Health, Capital Market Authority, official policy documents",DATA REQUIRED — locate and archive current official URLs in Wave 1,Queued primary source,Israel,DATA REQUIRED,2026-07-10,A1/B1,"1, 3, 14, 19, 27","Payer routes, reimbursement, supplementary insurance, private insurance and consumer decision paths","Coverage and reimbursement vary by plan, provider, policy, date, waiting period, and clinical criteria.",
SRC-0038,Google Search Console export,Google Search Console / owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 4, 7, 12, 30, 32","Queries, pages, clicks, impressions, positions, countries/devices, indexing and sitemap evidence","Not supplied; required before URL consolidation, migration, or current-ranking conclusions.",
SRC-0039,GA4 analytics export,Google Analytics / owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 14, 27–32","Landing-page engagement, journeys, conversion events, acquisition and assisted outcomes","Not supplied; event quality, consent configuration, PII/health-data leakage, and sampling must be audited.",
SRC-0040,Full technical crawl and sitemap/redirect inventory,Owner / crawler,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 22, 25, 34–35","All URLs, status codes, canonicals, noindex, hreflang, structured data, internal links, depth, redirects",Not supplied; public spot checks are not a substitute.,
SRC-0041,Backlink and historical URL exports,Owner / Semrush/Ahrefs/Majestic / archives,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"3, 7, 11, 30, 34–35","Link equity, lost links, historical signals and migration risk",Not supplied; vendor metrics must be labeled by source/date.,
SRC-0042,"CMS, hosting, GitHub and deployment inventory",Owner / UPress / GitHub,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"22–24, 34–35","Live versions, plugins/themes, custom code, environments, backups, deployment, data residency and security dependencies",Not supplied; secrets and production credentials must not be included in ordinary research files.,
SRC-0043,"CRM, lead and booking event export",Owner / CRM,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"13–15, 23, 27–32","Lead definitions, routing, response, booking/show/sale/refund outcomes and lost reasons",Not supplied; export must minimize or pseudonymize personal and health data.,
SRC-0044,Provider and clinic supply inventory,Owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"1, 3, 13–15, 19, 27–29","Provider identities, verification state, specialty, locations, services, prices, payer routes, availability and contracts",Not supplied; licensing and sanctions/status must be independently re-verified.,
SRC-0045,"Supplier, manufacturer and product inventory",Owner,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"1, 16–18, 21, 27–29","Supplier identity, catalog, regulatory documents, price/margin, stock, warranty, service, fulfillment and contracts",Not supplied; no product should be represented as approved or available without evidence.,
SRC-0046,Financial model input pack,Owner / accountant,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"27–29, 33–34","Historic P&L, payroll, contractor, hosting, sales, marketing, refunds, chargebacks, working capital and financing assumptions",Not supplied; no 36-month model is produced in Wave 0.,
SRC-0047,"Contracts, policies and legal opinions",Owner / counsel,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"13–18, 20, 23–24, 27, 29, 35","Operating role, data processing, lead/booking terms, sponsorship, refunds, provider/supplier obligations, IP and liability",Not supplied; privileged material should be handled through an approved secure process.,
SRC-0048,Medical reviewer roster and capacity,Owner / medical governance,OWNER DATA REQUIRED,Authenticated first-party dataset,Israel,DATA REQUIRED,2026-07-10,C1,"8–13, 19–20, 33–34","Reviewer identity, specialty, license/status, capacity, rates, conflicts, turnaround and re-review coverage",Not supplied; publication cadence must be constrained by verified review capacity.,
