competitor,domain,country,archetype,audiences,scale_metric,scale_source,SEO_model,product_capabilities,account_capabilities,provider_capabilities,commerce_capabilities,AI_capabilities,3D_capabilities,trust_model,monetization,strengths,weaknesses,hea_lth_action,sources
Hea-lth.co.il (current baseline),hea-lth.co.il,Israel,"Emerging premium medical knowledge, coordination and marketplace platform","Israeli consumers/patients; future professionals, clinics and suppliers","DATA REQUIRED — GSC, analytics, indexed URLs, provider/supplier inventory and revenue not supplied",OWNER DATA REQUIRED; public site spot review only,"Current public surface includes private-care, aesthetics, price and provider-index pages; complete taxonomy and acquisition mix DATA REQUIRED","Public education/decision pages, coordination CTAs and developing provider index observed; full functionality DATA REQUIRED",DATA REQUIRED,"Developing provider/clinic index visible; actual verified inventory, availability and professional tooling DATA REQUIRED",DATA REQUIRED; no B2C/B2B marketplace capability claimed from Wave 0 spot review,DATA REQUIRED; no production clinical AI assumed,DATA REQUIRED,"Emergency/non-diagnostic disclaimers observed; named reviewer, provider-verification and price-methodology systems require verification","DATA REQUIRED — owner contracts, revenue and funnel data not supplied",Existing domain/URL history; relevant premium-health seed; broad national ambition; controlled-stack preference,"Verified supply, reviewer identity/capacity, source/claim ledger, price method, availability, contracts and metrics remain unverified",Preserve URLs; instrument and govern; verify supply and methodology before mass expansion,SRC-0002–SRC-0015; SRC-0038–SRC-0048 owner data required
Mayo Clinic,mayoclinic.org,United States,Medical knowledge + health system,Patients; caregivers; clinicians,Large authoritative condition/test/treatment library; health-system brand acquisition,DATA REQUIRED unless explicitly cited in sources,Condition-first taxonomy; strong brand and internal links,Educational articles; symptom/condition/test/treatment content; care entry points,Patient account exists in health-system context; exact public-content integration DATA REQUIRED,Health-system clinicians and locations; not primarily an open marketplace,Limited retail/transaction role on public knowledge surface,AI/navigation capabilities DATA REQUIRED,3D/visual capabilities DATA REQUIRED,Named medical institution; editorial/clinical governance DATA REQUIRED for template-level audit,Care delivery; philanthropy; services; other models DATA REQUIRED,Brand authority; clinical depth; coherent patient education,Not a neutral multi-provider marketplace; localization to Israel absent,"Match evidence clarity and entity coverage; avoid copying prose; exceed with Hebrew localization, transparent marketplace separation and structured comparisons",Wave 2 official-source audit pending
Cleveland Clinic,clevelandclinic.org,United States,Medical knowledge + health system,Patients; caregivers; clinicians,Large authoritative health library and care network; exact current scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Condition/procedure content integrated with care discovery,Health library; treatment and service pages; provider/location discovery,Health-system patient account; exact public features DATA REQUIRED,Owned clinician/network directory and appointments,No open supplier marketplace observed in Wave 0,AI capabilities DATA REQUIRED,Visual/3D capabilities DATA REQUIRED,Institutional brand; clinical authorship/review model DATA REQUIRED,Care delivery and health-system revenue,High trust; practical content; provider connection,Owned-network bias; not a neutral Israeli marketplace,"Match practical formats and provider bridges; exceed with methodology, multi-provider transparency and Hebrew entity graph",Wave 2 official-source audit pending
WebMD,webmd.com,United States,Consumer medical publisher,Consumers; advertisers; professionals,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"High-volume condition, symptom, drug, tool and news taxonomy",Medical content; symptom/drug tools; newsletters; video; community features DATA REQUIRED,Consumer accounts/newsletters DATA REQUIRED,Provider discovery capabilities DATA REQUIRED,Advertising and partner commerce/referral DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial and medical review policies require official audit,Advertising; sponsorship; lead/referral and data products DATA REQUIRED,Broad coverage and consumer familiarity,Advertising conflict risk; variable depth; U.S.-centric,"Match breadth only after governance capacity; exceed disclosure, source ledger, Israeli relevance and commercial separation",Wave 2 official-source audit pending
Healthline,healthline.com,United States,Consumer medical publisher,Consumers; advertisers,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Topic-cluster SEO; condition, wellness and product-review content",Health education; guides; newsletters; product reviews; tools DATA REQUIRED,Account/newsletter features DATA REQUIRED,Provider marketplace role DATA REQUIRED,"Affiliate, advertising and commerce/referral surfaces DATA REQUIRED",AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial/medical-review process requires official audit,Advertising; affiliate; sponsorship; other models DATA REQUIRED,Accessible writing; strong content packaging,Commercial/editorial boundary and product-review methodology require scrutiny; non-Israeli,"Match readability and visual explanation; exceed source granularity, Hebrew clinical terminology and marketplace verification",Wave 2 official-source audit pending
Verywell Health,verywellhealth.com,United States,Consumer medical publisher,Consumers; caregivers; advertisers,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Topic-cluster SEO and expert-reviewed consumer content,Conditions; treatments; drugs; tests; wellness content,Newsletter/account capabilities DATA REQUIRED,No primary open-booking role established in Wave 0,Advertising/affiliate capabilities DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial and reviewer policies require official audit,Advertising and affiliate DATA REQUIRED,"Readable, structured consumer education",U.S.-centric; limited transaction/supply role,Match clear structure; exceed with Israel-specific payer/provider/product data and claim ledger,Wave 2 official-source audit pending
MSD Manuals,msdmanuals.com,United States / global,Professional and consumer medical reference,Consumers; clinicians,Global medical reference; exact scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Reference taxonomy; professional/consumer versions,"Condition, symptom, test, treatment and drug reference",Account capabilities DATA REQUIRED,No open provider marketplace role established,No broad consumer marketplace role established,AI capabilities DATA REQUIRED,Media/3D capabilities DATA REQUIRED,Medical-reference publisher; authorship/update model to audit,Pharmaceutical-company-supported reference; exact model DATA REQUIRED,Structured clinical reference and dual audiences,Less commerce/decision support; licensing/translation constraints possible,Study dual-audience architecture; do not imitate clinical prose; add Israeli service and decision layers,Wave 2 official-source audit pending
NHS,nhs.uk,United Kingdom,Public health-system knowledge and navigation,Public; patients; caregivers,National public-service reach; exact digital scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Task-based public-health navigation and service discovery,Conditions; medicines; tests; services; urgent-care routing; self-help tools DATA REQUIRED,Public service accounts/integrations DATA REQUIRED,"Public service and provider navigation, not a commercial marketplace",No ordinary commercial monetization,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Government/public-health authority; governance and sourcing to audit,Publicly funded,Clear safety routing; public-service trust; accessible task design,UK-specific system; no commercial marketplace pattern,Match urgent-intent safeguards and clarity; localize to Israeli system; keep emergency paths free of commercial pressure,Wave 2 official-source audit pending
MedlinePlus,medlineplus.gov,United States,Government medical knowledge,Public; patients; caregivers,Large federal reference; exact scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Entity/reference taxonomy with authoritative outbound sources,Health topics; drugs/supplements; tests; genetics; videos,No major consumer transaction account role established,No provider marketplace role,No commercial marketplace,AI capabilities DATA REQUIRED,Visual capabilities DATA REQUIRED,U.S. National Library of Medicine; authoritative-source model,Publicly funded,Source authority; neutral educational orientation,U.S.-specific; limited provider/price/commerce journeys,Match source transparency and neutral education; exceed with Hebrew localization and governed commercial pathways,Wave 2 official-source audit pending
Zocdoc,zocdoc.com,United States,Provider discovery and booking marketplace,Patients; doctors; practices,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Specialty, reason, location and appointment-intent landing pages; brand and paid acquisition",Provider search; filters; ratings; insurance; appointment slots; booking,Patient account; booking management DATA REQUIRED,"Provider profiles, practice tools, scheduling/availability integrations DATA REQUIRED",No broad medical product commerce role established,AI/navigation capabilities DATA REQUIRED,No core 3D role established,"Provider verification, review eligibility and ranking rules require official audit",Provider-paid marketplace; exact pricing and fee structure DATA REQUIRED,High-intent availability-led conversion and structured provider inventory,U.S. payer/system context; incentives and ranking transparency require scrutiny,"Match availability and structured search only with verified supply; exceed sponsor separation, Israeli license verification and response-quality controls",SRC-0030 discovery only; replace with official sources in Wave 2
Doctolib,doctolib.com,France / Europe,Provider booking + practice software,Patients; clinicians; practices,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, specialty/location/service pages and provider adoption",Provider search; booking; teleconsultation and patient/practice workflows DATA REQUIRED,Patient account and appointment/document workflows DATA REQUIRED,Professional scheduling and practice software; exact scope DATA REQUIRED,No broad equipment marketplace role established,Doctolib AI and clinical/admin AI claims require official verification,3D role DATA REQUIRED,"Provider identity, availability and data-governance model require official audit",Practice software subscriptions and related services DATA REQUIRED,Two-sided network plus workflow software; recurring B2B value,European regulatory/system context; current AI scope must not be assumed,Study software-enabled liquidity; partner/buy before rebuilding scheduling; separate administrative AI from clinical claims,Wave 2 official-source audit pending
Top Doctors,topdoctors.com,Spain / international,Premium specialist discovery and booking,Patients; specialists; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Specialty/treatment/location content and provider profiles,Provider discovery; profiles; appointments; content; telemedicine DATA REQUIRED,Patient account DATA REQUIRED,Premium specialist onboarding and verification claims DATA REQUIRED,No broad product marketplace role established,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Selection/verification and review policies require official audit,Provider subscriptions/leads/booking DATA REQUIRED,Premium positioning and cross-border specialist discovery,Verification depth and commercial ranking must be tested; localization varies,Benchmark premium profile depth and concierge; exceed with transparent criteria and Israeli registry checks,Wave 2 official-source audit pending
Practo,practo.com,India,Provider marketplace + practice software + health services,Patients; doctors; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Large specialty/location/content footprint and app acquisition,Doctor search; booking; consultations; records/services DATA REQUIRED,Patient and professional accounts DATA REQUIRED,Practice management and provider marketplace capabilities DATA REQUIRED,Pharmacy/diagnostics or commerce scope DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Provider and review verification require official audit,"Bookings, subscriptions, software, services and commerce DATA REQUIRED",Broad consumer-professional ecosystem,Market-specific operations; breadth may increase governance complexity,Study account ecosystem and practice tools; avoid premature breadth; localize around verified Israeli supply,Wave 2 official-source audit pending
Docplanner,docplanner.com,Poland / international,Provider marketplace + SaaS,Patients; doctors; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Multi-market specialty/location pages, brand and provider acquisition","Provider search, reviews, booking and practice workflows DATA REQUIRED",Patient and professional accounts DATA REQUIRED,"Provider onboarding, scheduling and practice software DATA REQUIRED",No broad equipment marketplace role established,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Review, provider and ranking controls require official audit",Provider subscriptions/software/marketplace DATA REQUIRED,Multi-market marketplace operating model and B2B SaaS,Local market fit and governance vary; exact features must be verified,Benchmark market-entry/supply model; exceed Israeli verification and clinical/editorial separation,Wave 2 official-source audit pending
WhatClinic,whatclinic.com,Ireland / international,Treatment and clinic lead marketplace,Patients; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Procedure/location pages and international treatment demand,Treatment search; clinic listings; reviews; inquiries; price indications DATA REQUIRED,Inquiry/account features DATA REQUIRED,Clinic profiles and lead response DATA REQUIRED,No broad product commerce role established,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Clinic/review verification and price methodology require audit,Lead generation and clinic subscriptions DATA REQUIRED,Cross-border treatment comparison and lead routing,"Price freshness, clinical quality signals and lead incentives require scrutiny","Study medical-travel and lead operations; exceed on verified availability, price methodology and consent",Wave 2 official-source audit pending
Healthgrades,healthgrades.com,United States,Provider directory and hospital comparison,Patients; providers; health systems,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Provider, specialty, condition and location SEO",Provider/hospital search; profiles; ratings; content DATA REQUIRED,Account capabilities DATA REQUIRED,Large directory and marketing tools DATA REQUIRED,No broad product marketplace role established,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Data provenance, provider verification and rating methodology require audit","Advertising, provider/health-system marketing DATA REQUIRED",Deep provider/entity footprint,U.S.-centric; profile ownership and ranking transparency require review,Benchmark structured profiles and entity coverage; avoid unverified scaled listings,Wave 2 official-source audit pending
RealSelf,realself.com,United States / international,Aesthetics and plastic-surgery marketplace,Consumers; doctors; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Procedure, concern, provider, review, Q&A and photo-driven acquisition",Treatment research; reviews; before/after media; providers; Q&A; pricing DATA REQUIRED,Consumer and professional accounts DATA REQUIRED,"Doctor profiles, inquiries and reputation tools DATA REQUIRED",No broad medical-device marketplace role established,AI capabilities DATA REQUIRED,Simulation/visual integrations DATA REQUIRED,"Review eligibility, media consent/editing, provider verification and ranking require official audit",Provider marketing/subscriptions/leads/advertising DATA REQUIRED,"Category focus, social proof, visual decision support and provider demand","Outcome-expectation, review authenticity, before/after manipulation and pay-to-rank risks","Match treatment decision depth only with strict review/media controls; exceed evidence, disclosure and Israeli verification",SRC-0031 discovery only; replace with official sources in Wave 2
MedReviews,medreviews.co.il,Israel,Israeli provider reviews and discovery,Israeli patients; doctors; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Hebrew provider/treatment/location pages and brand demand,Provider search; reviews; profile content; inquiry/booking capabilities DATA REQUIRED,Patient/professional account capabilities DATA REQUIRED,Provider profile and review operations DATA REQUIRED,No broad product marketplace role established,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Israeli license/review verification and ranking methodology require official audit,Provider subscriptions/leads/marketing DATA REQUIRED,"Local language, provider supply and review familiarity","Exact inventory, verification, incentives and response operations unknown","Highest-priority Israeli benchmark; match local usability, exceed transparent verification, evidence and full journey data",Wave 2 official-source audit pending
Clalit Aesthetics,clalitaesthetics.co.il,Israel,Integrated aesthetics clinic network,Consumers/patients,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, clinic network, treatment pages and paid/organic acquisition",Treatment information; clinics; consultations; offers DATA REQUIRED,Customer/account/appointment capabilities DATA REQUIRED,Owned network; clinicians and clinics DATA REQUIRED,Direct service sale/booking; product commerce DATA REQUIRED,AI capabilities DATA REQUIRED,3D/simulation capabilities DATA REQUIRED,Health-system brand association; clinician and outcome governance require audit,Direct clinical service revenue,"Local trust, owned supply and operational control",Not neutral comparison; inventory limited to own network,"Compete through neutrality, broader verified supply and decision transparency; partner only with clear disclosure",Wave 2 official-source audit pending
Maccabi private-service surfaces,maccabi4u.co.il,Israel,HMO/private-service navigation,Members; patients; clinicians,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Member navigation, payer/service information and brand","Benefits, provider/service discovery, appointments and reimbursement information DATA REQUIRED",Member account and health-service workflows DATA REQUIRED,Network/payer-linked provider access DATA REQUIRED,Limited ordinary commercial marketplace role,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Regulated health organization; exact policy and data controls to audit,Membership/public/private service model,"Payer route, trusted member context and integrated service information",Not neutral; access may depend on membership/coverage,Map payer journeys and benefits accurately; never imply coverage; differentiate through cross-payer comparison and concierge,Wave 1–2 official-source audit pending
Estheticare,estheticare.co.il,Israel,Aesthetics network / service provider,Consumers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Treatment and clinic/service marketing,"Treatments, consultations, clinics, offers DATA REQUIRED",Account/booking capabilities DATA REQUIRED,Owned/partner clinician supply DATA REQUIRED,Direct clinical service revenue; products DATA REQUIRED,AI capabilities DATA REQUIRED,3D/simulation capabilities DATA REQUIRED,"Provider credentials, review/media and advertising controls require audit",Direct services and promotions DATA REQUIRED,Local treatment supply and conversion focus,Not neutral; clinical/evidence and commercial separation require review,"Benchmark local conversion and offers; exceed evidence, comparisons, reviewer identity and sponsor labeling",Wave 2 official-source audit pending
Kamaze,kamaze.co.il,Israel,Consumer comparison publisher/marketplace,Israeli consumers; advertisers/providers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Comparison and price-intent SEO across consumer categories including health surfaces,"Comparison pages, guides, leads and offers DATA REQUIRED",Account capabilities DATA REQUIRED,Provider/service lead relationships DATA REQUIRED,Referral/lead and comparison monetization DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Price methodology, commercial relationships and ranking require audit","Leads, affiliate, sponsorship and advertising DATA REQUIRED",Strong comparison intent and local consumer framing,Medical governance may not be equivalent to a clinical portal,"Study price/offer UX; exceed with medical review, source ledger, verified supply and conflict controls",Wave 2 official-source audit pending
Prenuvo,prenuvo.com,Canada / United States; other markets DATA REQUIRED,Premium whole-body MRI diagnostics,Consumers; employers; partners,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, education, performance marketing, partnerships and referrals",Whole-body MRI package; locations; booking; reports/support DATA REQUIRED,Customer account/report journey DATA REQUIRED,Owned/partner imaging supply DATA REQUIRED,Direct package purchase; membership/financing DATA REQUIRED,AI/imaging claims require clinical and regulatory verification,Imaging visualization capabilities DATA REQUIRED,"Clinical evidence, limitations, incidental findings, provider oversight and claims require deep audit",Direct diagnostic-service revenue,Premium packaging and consumer journey,"Screening evidence controversy, false positives/incidental findings, high clinical and advertising risk",Do not copy package claims; use as a governance benchmark and research Israeli clinical/regulatory fit before any launch,Wave 2 and clinical-evidence audit pending
Ezra,ezra.com,United States,Premium cancer-screening / imaging service,Consumers; employers DATA REQUIRED,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, education, direct acquisition and partnerships","Screening packages, booking, results and follow-up DATA REQUIRED",Customer account/report journey DATA REQUIRED,Imaging/clinical network DATA REQUIRED,Direct package purchase/membership DATA REQUIRED,AI/imaging claims require clinical and regulatory verification,Imaging visualization DATA REQUIRED,"Evidence, limitations, clinical follow-up and device/software regulation require audit",Direct diagnostic-service revenue,Consumer-friendly premium screening journey,High-risk screening claims and incidental findings; U.S. context,"Research as a cautious analogue, not proof of Israeli opportunity or clinical value",Wave 2 and clinical-evidence audit pending
Function Health,functionhealth.com,United States,Membership biomarker testing and longitudinal health dashboard,Consumers; clinicians/partners DATA REQUIRED,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, waitlist/referral, education and membership acquisition","Lab panels, dashboards, summaries, repeat testing DATA REQUIRED",Membership and longitudinal account central,Clinician review/oversight model DATA REQUIRED,Membership/service purchase,AI summary/personalization claims require verification,Data visualization rather than core 3D,"Lab quality, clinical oversight, claims, privacy and escalation require audit",Subscription/membership,Repeat economics and longitudinal engagement,"Risk of overtesting, incidental findings, interpretation and medical-record-like data burden","Study repeat engagement; launch only with clinical pathway, data minimization and Israeli lab/legal model",Wave 2 and clinical-evidence audit pending
Neko Health,nekohealth.com,Sweden / other markets DATA REQUIRED,Technology-enabled preventive health assessment,Consumers; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, waitlist, direct acquisition and physical centers","Multi-sensor health assessment, clinician consultation, longitudinal follow-up DATA REQUIRED",Member account/data journey DATA REQUIRED,Owned clinics/clinical operations DATA REQUIRED,Direct assessment/membership DATA REQUIRED,AI/sensor analysis requires evidence and regulation audit,3D/body scanning/visualization capabilities DATA REQUIRED,"Clinical validation, device status, privacy, clinician oversight and claims require audit",Direct services/membership DATA REQUIRED,Integrated hardware-software-clinic experience,"Capital intensity, regulation, data sensitivity and limited transferability",Benchmark experience and operations; partner/buy rather than replicate hardware early,Wave 2 and regulatory audit pending
Human Longevity,humanlongevity.com,United States,Precision-health / longevity diagnostics,Consumers; executives; enterprises DATA REQUIRED,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Brand, partnerships and premium service acquisition",Genomic/imaging/lab assessment and personalized service DATA REQUIRED,High-touch member/data account DATA REQUIRED,Clinician and facility operations DATA REQUIRED,Direct premium packages,AI/genomics claims require verification,Imaging/data visualization DATA REQUIRED,"Clinical evidence, genetics consent, privacy, follow-up and claims require deep audit",Premium service packages,High-value integrated diagnostics,"Very high cost, sensitive data, uncertain generalizability and clinical-actionability risk",Use only as a premium-service analogue; do not reproduce genomic/AI claims without exact clinical/legal model,Wave 2 and clinical/regulatory audit pending
Ada,ada.com,Germany / international,Symptom assessment / health navigation AI,Consumers; payers; providers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Enterprise partnerships, app/brand and health-navigation acquisition",Symptom assessment and navigation DATA REQUIRED,User account/history DATA REQUIRED,Enterprise/provider integrations DATA REQUIRED,No ordinary product marketplace role,Core AI symptom assessment; validation and regulatory status vary by product/market and must be verified,No core 3D role,"Clinical safety, validation, quality management, regulation and escalation require official audit",Enterprise licensing/partnerships DATA REQUIRED,Structured conversational intake and enterprise deployment,Clinical/high-risk; not transferable to a general-purpose LLM or Israel without validation,"Do not build early; evaluate only as regulated vendor/partner after legal, clinical and safety review",Wave 2/7 official and regulatory audit pending
Infermedica,infermedica.com,Poland / international,"Clinical intake, symptom assessment and navigation infrastructure",Payers; providers; digital-health companies,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Enterprise sales and partnerships,"Symptom checker, intake, triage/navigation APIs DATA REQUIRED",Embedded/enterprise workflows,Provider/payer integrations DATA REQUIRED,No ordinary commerce role,Core clinical decision-support/intake AI; exact regulatory/validation scope DATA REQUIRED,No core 3D role,"Validation, regulation, safety, data processing and human oversight require audit",Enterprise licensing,API/product infrastructure and configurable workflows,High-risk clinical boundary; vendor/data lock-in and localization risk,Potential partner only for an exact validated use case; keep lower-risk navigation separate,Wave 2/7 official and regulatory audit pending
K Health,khealth.com,United States,AI-assisted virtual care,Consumers; clinicians; employers/payers DATA REQUIRED,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Direct-to-consumer brand/performance and enterprise acquisition,"AI intake, virtual care, prescriptions/services DATA REQUIRED",Patient account and care history central,Employed/contracted clinician operations DATA REQUIRED,Direct care subscription/visit revenue DATA REQUIRED,AI-assisted care claims require clinical/regulatory audit,No core 3D role,"Clinical oversight, prescribing, state/jurisdiction licensing, privacy and safety require audit","Subscriptions, visits and enterprise DATA REQUIRED",Integrated AI-to-clinician journey,Jurisdiction-specific regulated care; high liability and data sensitivity,"Do not treat as a template for launch; study escalation, clinician operations and safety controls only",Wave 2/7 official and regulatory audit pending
Crisalix,crisalix.com,Switzerland / international,Patient-specific aesthetic 3D simulation,Patients; plastic surgeons; aesthetic clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"B2B provider sales, clinic demos and patient acquisition",3D aesthetic consultation/simulation DATA REQUIRED,Patient/provider account and consent workflows DATA REQUIRED,Clinic software and consultation tools DATA REQUIRED,B2B software licensing,AI capabilities DATA REQUIRED,Core 3D simulation,"Consent, image handling, outcome disclaimers, validation and data processing require audit",Clinic software subscription/licensing DATA REQUIRED,High-conversion visualization and provider workflow,Outcome-expectation and privacy risk; simulation is not a guaranteed result,"Buy/license or partner rather than build early; require explicit disclaimer, consent, retention and fallback controls",Wave 2/7 official-source audit pending
Canfield VECTRA,canfieldsci.com,United States / international,Clinical imaging and aesthetic 3D systems,Clinicians; clinics; manufacturers/researchers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,B2B equipment/software sales and professional channels,"Clinical photography, imaging, analysis and 3D consultation DATA REQUIRED",Professional accounts/workstations DATA REQUIRED,Clinic imaging workflow DATA REQUIRED,Equipment/software sale and service,AI/image-analysis capabilities DATA REQUIRED,Core 3D imaging/simulation,"Device/software status, clinical use, calibration, consent, security and claims require audit","Equipment, software, support/service DATA REQUIRED",Professional imaging quality and workflow integration,"Cost, hardware dependency, training and regulatory complexity",Benchmark for professional partner integration; do not expose patient-specific prediction without governed workflow,Wave 2/7 official-source audit pending
Henry Schein,henryschein.com,United States / international,Professional medical/dental distribution and services,Clinics; dental practices; health professionals,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Direct sales, catalogs, account relationships and field sales","Large catalogs, search, ordering, account pricing, services DATA REQUIRED",Professional/customer account central,Practice/customer support and services DATA REQUIRED,"B2B ecommerce, contracts, financing/service DATA REQUIRED",AI capabilities DATA REQUIRED,3D/product visualization DATA REQUIRED,"Supplier authorization, product documentation, account eligibility and service controls require audit","Product margin, contracts, services, financing DATA REQUIRED","Catalog depth, procurement workflow and recurring account economics",Not a neutral marketplace; international catalog/terms may not apply in Israel,Match data completeness and reorder/service workflows; partner with Israeli distributors; avoid unsupported product claims,Wave 2/6 official-source audit pending
McKesson Medical-Surgical,mms.mckesson.com,United States,Professional medical-supply distributor,Clinics; facilities; professionals,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Direct sales, catalog, contract and enterprise acquisition","Catalog, ordering, account pricing, logistics and services DATA REQUIRED",Professional account central,Facility/customer operations DATA REQUIRED,B2B ecommerce and distribution,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Product, customer eligibility, regulatory and logistics controls require audit","Product distribution, contracts and services",Enterprise supply operations and fulfillment,U.S. regulatory/logistics context; not an open neutral marketplace,"Benchmark professional account, ordering and fulfillment; localize through verified Israeli suppliers",Wave 2/6 official-source audit pending
DOTmed,dotmed.com,United States / international,New/used medical-equipment marketplace and industry media,Hospitals; clinics; dealers; manufacturers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Listings, category pages, direct/industry acquisition and marketplace network","New/used equipment listings, wanted ads, auctions/quotes and media DATA REQUIRED",Buyer/seller professional accounts DATA REQUIRED,Dealer/supplier profiles and communications DATA REQUIRED,"Marketplace listings, ads, transactions/leads DATA REQUIRED",AI capabilities DATA REQUIRED,Product media capabilities DATA REQUIRED,"Seller identity, equipment condition, documentation, fraud, escrow and dispute controls require audit",Subscriptions/listings/advertising/transaction services DATA REQUIRED,Liquidity for high-ticket used equipment and broad catalog,"Condition, title, regulatory, cross-border, service and fraud risk","Study quote/wanted/used workflows; launch only with professional verification, condition evidence and assisted transactions",Wave 2/6 official-source audit pending
GoodRx,goodrx.com,United States,Medication price and pharmacy-navigation platform,Consumers; pharmacies; manufacturers; providers,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Drug/price-intent SEO, app, brand, paid and partner acquisition","Drug information, price comparison, coupons/discount navigation and telehealth DATA REQUIRED",Consumer account/savings features DATA REQUIRED,Pharmacy/provider relationships DATA REQUIRED,Referral/discount/telehealth and advertising DATA REQUIRED,AI capabilities DATA REQUIRED,No core 3D role,"Price data methodology, pharmacy participation, privacy, advertising and clinical boundaries require audit",Referral/transaction/advertising/subscription DATA REQUIRED,High-intent price utility and repeat use,U.S.-specific drug pricing and pharmacy model; privacy/advertising scrutiny,"Use only as an analogue; Israel strategy must start from official drug index, price rules and licensed pharmacy model",Wave 2/6 official-source audit pending
Bookimed,bookimed.com,International; company location DATA REQUIRED,Medical travel marketplace and coordination,Patients; clinics; hospitals,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Treatment/country/clinic SEO, multilingual acquisition and coordinators","Clinic/treatment comparison, inquiry and care coordination DATA REQUIRED",Patient inquiry/account features DATA REQUIRED,International clinic supply and coordinators DATA REQUIRED,Lead/booking/coordination revenue DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Clinic verification, outcome claims, price packages, consent and conflict controls require audit",Lead/booking/coordination DATA REQUIRED,Cross-border supply and concierge operations,"High liability, continuity-of-care, travel, refunds and verification risk",Benchmark concierge operations; defer broad medical travel until vetted anchor partners and aftercare are in place,Wave 2 official-source audit pending
Qunomedical,qunomedical.com,Germany / international,Curated medical travel and care coordination,Patients; clinics,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Procedure/destination content, brand, paid acquisition and coordinators","Treatment matching, clinic comparison and coordination DATA REQUIRED",Patient inquiry/account features DATA REQUIRED,Curated international provider network DATA REQUIRED,Lead/coordination/package revenue DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,"Provider selection, package price, consent, outcomes, aftercare and disputes require audit",Care coordination and marketplace fees DATA REQUIRED,Curated cross-border journey and concierge positioning,"Medical-travel continuity, quality, refund and jurisdiction risk",Study selection and aftercare model; require explicit verification and conflict disclosure,Wave 2 official-source audit pending
