risk_id,category,risk,likelihood,impact,leading_indicator,prevention,mitigation,owner,decision_gate,contingency,status,evidence_or_notes
RISK-001,SEO,"Legacy URL deletion, slug changes or broad redirects destroy traffic/link/history signals",High,Critical,Redirects proposed before full crawl/GSC/backlink analysis; sudden indexed-page or click loss,Preservation default; URL inventory; content-equivalence and redirect map; staging crawl; backup; change log,Roll back reversible changes; restore URLs/content; correct canonicals/redirects; request recrawl; targeted link recovery,SEO director + engineering lead,No migration or consolidation without signed legacy-URL evidence pack,Freeze migration; improve in place; phase changes by cohort,OPEN,Owner brief explicitly prohibits destructive URL decisions before complete analysis.
RISK-002,SEO,"Keyword cannibalization and duplicated intent across price, procedure, provider and location pages",High,High,Multiple URLs alternate for same query; unstable ranks; high overlap; internal links conflict,Query-to-task taxonomy; top-ten overlap analysis; one canonical intent; content-difference thresholds,Merge only with evidence; canonical/internal-link cleanup; re-scope pages; monitor query-page pairs,SEO director + medical editor,No page production batch before canonical map approval,Hold/noindex low-value candidates; consolidate in-place without unnecessary slug changes,OPEN,Wave 0 map is provisional; all metrics and SERPs are DATA REQUIRED.
RISK-003,SEO,"Scaled/thin AI or programmatic pages trigger spam, low quality or index bloat",High,Critical,Rapid URL growth without unique data/review; low indexation; crawl waste; manual-action signals,Unique-value schema; verified inventory thresholds; reviewer capacity gate; anti-doorway rules; editorial sampling,Stop generation; noindex/remove low-value templates after evidence review; improve canonical hubs; submit reconsideration if needed,SEO director + medical governance lead,"No bulk generation until unique data, review, demand and QA thresholds are proven",Limit launch to manually governed cohorts; use search/facets without indexation,OPEN,Google spam-policy review and owner brief support this control.
RISK-004,SEO,AI/AIO/GEO work distracts from ordinary technical and editorial SEO,Medium,High,"Special files/markup prioritized over crawlability, internal links, evidence and page experience",Use ordinary SEO fundamentals; indexed/snippet-eligible pages; visible-text/data parity; measure in Search Console,"Remove speculative complexity; refocus on crawl, content, entities, authority and original data",SEO director,No GEO feature may bypass core SEO and user-value QA,"Treat llms.txt and emerging conventions as experiments, not ranking guarantees",OPEN,Official Google guidance says no special AI file or schema is required for AI features.
RISK-005,Content,Medical misinformation or unsupported clinical claims,Medium,Critical,Claims lack source IDs; reviewer expired; user complaints; clinician escalation; contradictions,Claim ledger; risk tiers; named specialty review; source hierarchy; expiry/re-review; correction policy,Unpublish or add prominent correction; clinician review; notify affected partners; root-cause analysis,Medical-content governance lead,M2–M4 content cannot publish without required review and evidence,Publish narrower neutral navigation content or hold page,OPEN,YMYL/high-risk scope; no claim should be inferred from competitor copy.
RISK-006,Content,"Stale medical, regulatory, payer, price or availability information",High,High,Source past review date; broken source; mismatch with provider feed; complaint rate rises,Freshness fields; source/date display; expiry rules; automated and manual review queues; feed timestamps,Suppress stale fields; add uncertainty; re-verify; revert to request-based flow,Medical editor + data operations,No 'current' label without timestamp and source,Show DATA REQUIRED / contact-to-confirm rather than stale certainty,OPEN,Public price/provider pages currently need formal freshness methodology.
RISK-007,Content,Medical reviewer capacity becomes the production bottleneck,High,High,Draft backlog; review turnaround misses SLA; re-review coverage falls; reviewer conflicts,Capacity model by risk/vertical; retainer roster; standardized evidence packs; publish only to capacity,Reduce cadence; prioritize head-term pillars and money pages; recruit/contract specialists; narrow claims,Medical governance lead + GM,No content plan beyond verified review capacity,Use M0/M1 non-clinical work while M2–M4 queue is constrained,OPEN,Reviewer roster and costs are OWNER DATA REQUIRED.
RISK-008,Content,Competitor prose is copied or lightly rewritten,Medium,High,High textual similarity; identical structure/claims; copyright complaints,Competitor coverage matrix without prose extraction; draft from primary evidence and user tasks; similarity checks,Rewrite from evidence; remove infringing assets; legal review; document provenance,Editorial director,No publication without source-led brief and originality QA,"Publish original datasets, clinician Q&A and local decision tools instead",OPEN,Owner brief prohibits copying or lightly rewriting competitors.
RISK-009,Trust,Provider shown as verified without reliable identity/license/specialty/status evidence,High,Critical,Missing verification source/date; mismatch with official registry; user/provider complaint,Identity proof; official registry checks; specialty verification; periodic re-check; status/sanction monitoring; audit log,Suspend badge/profile/lead routing; investigate; correct; notify affected users/partners as advised,Provider operations lead + compliance,No verification badge or paid lead until full verification record exists,"List as unverified informational record only if legally appropriate, or do not list",OPEN,Official Israeli registry source set remains queued.
RISK-010,Trust,"Supplier, device or product represented as approved/authorized/available without evidence",High,Critical,Missing AMAR/status docs; expired authorization; stock mismatch; unsupported claims,Product-status ledger; document verification; supplier authorization; claim controls; timestamped stock,Delist/suppress offer; stop orders/leads; notify buyers; recall/escalation process,Marketplace operations + compliance,No checkout/quote routing without status and supplier verification appropriate to category,Information-only page with official-source links; no commercial CTA,OPEN,Israeli device/AMAR research pending.
RISK-011,Trust,"Fake, incentivized or manipulated reviews",High,High,Review spikes; duplicate text/devices; low verified-encounter ratio; provider disputes,Eligibility based on verified encounter where lawful; incentive disclosure/prohibition; fraud detection; moderation; appeals,Quarantine/remove reviews; investigate accounts/providers; publish enforcement note where appropriate,Trust & safety lead,No public aggregate score until eligibility and fraud controls meet threshold,Launch without reviews; use verified factual profile data and structured feedback privately,OPEN,A review policy is a launch prerequisite.
RISK-012,Trust,"Before/after images are unconsented, misleading, edited or imply guaranteed outcomes",High,Critical,No consent record; metadata absent; inconsistent lighting/pose; complaints; reused stock images,Written granular consent; provenance; editing policy; standardized capture; disclaimer; withdrawal process,Remove media; suspend provider media rights; investigate; notify/legal response,Medical governance + trust & safety,No before/after publication without consent/provenance/QA,Use medically reviewed illustrations or procedure diagrams,OPEN,High-risk aesthetics/plastic-surgery issue.
RISK-013,Trust,"Paid placement is confused with clinical quality, editorial judgment or organic ranking",High,Critical,Sponsored providers dominate; labels unclear; sales can alter editorial conclusions,Separate ad/editorial systems and governance; conspicuous labels; ranking methodology; conflict register; audit,Remove/relable placement; refund/credit as applicable; public correction; disciplinary process,GM + editorial board + compliance,"No sponsorship product before policy, UI labeling and audit controls",Sell non-ranking sponsorships or professional tools instead,OPEN,Owner brief requires separation.
RISK-014,Privacy,"First-contact forms collect diagnoses, medications, files or detailed histories unnecessarily",High,Critical,Free-text health details appear in CRM/analytics/email; staff access broad,Minimal structured first contact; explicit instruction not to submit clinical details; sensitive channel only when needed,Purge/quarantine data per policy; restrict access; notify privacy/security; redesign form,Privacy officer + product lead,No lead form launch without data-minimization review,Use service/region/timing/payer/language/contact/consent fields only,OPEN,Owner brief explicitly prohibits generic collection of detailed medical data.
RISK-015,Privacy,"Consent is vague, bundled, not provable or not channel/purpose specific",Medium,High,Missing consent timestamp/text/version; high complaints/unsubscribes; routing disputes,Versioned consent ledger; granular purposes/channels; clear provider-sharing disclosure; withdrawal workflow,Stop processing/routing; obtain valid consent where appropriate; delete/suppress; investigate,Privacy officer + CRM owner,No direct marketing or provider transfer without approved consent basis,Use service-only communications and manual confirmation,OPEN,Exact Israeli Amendment 13 implications require qualified review.
RISK-016,Privacy,"Health/PII leaks into ordinary analytics, ad platforms, call tracking or URLs",High,Critical,Free text/query params in events; advertising audiences built from sensitive pages; vendor logs contain health details,Event dictionary; URL/query sanitization; server-side filtering; vendor configuration; no sensitive custom dimensions; DPIA,Disable affected tags; purge where possible; incident assessment; notify advisers/authorities/users as required,Privacy officer + analytics lead + security lead,No production analytics until data-flow test passes,Use aggregate first-party minimal analytics and consented measurement,OPEN,High-risk health context.
RISK-017,Privacy,"International/vendor data transfer, residency or processor terms are noncompliant or opaque",Medium,Critical,Unknown subprocessors/regions; vendor changes; missing DPA/security evidence,Vendor register; data maps; DPA/SCC/transfer review as applicable; residency requirements; portability and exit plan,Suspend transfer; switch region/vendor; export/delete data; legal incident process,Privacy officer + security lead + procurement,No sensitive-data vendor without due diligence and approved transfer basis,Use local/approved infrastructure or manual process,OPEN,Israeli legal analysis and owner stack inventory pending.
RISK-018,Security,"Account takeover affects patients, providers, suppliers or staff",High,Critical,Credential stuffing; unusual logins; MFA adoption low; support reset fraud,MFA/passkeys; rate limits; breached-password checks; risk-based auth; secure recovery; session/device controls,Force resets/revocation; suspend account; investigate/audit; notify as required,Security lead,No sensitive account features without strong authentication and recovery,Launch anonymous/saved-local journeys first; staff-assisted access,OPEN,Member/professional ecosystem creates material account risk.
RISK-019,Security,Prompt injection or malicious content manipulates AI retrieval/agents,High,High,AI follows page/document instructions; unauthorized tool calls; data exfiltration tests succeed,Treat retrieved content as untrusted; tool allowlists; least privilege; content isolation; human approval; red-team tests,Disable affected tools/agent; rotate secrets; inspect logs; patch filters/policies; notify security,AI safety lead + security lead,No agent with write/send/book capability before adversarial evaluation and approval,Read-only citation-grounded search with no actions,OPEN,OWASP identifies prompt injection and excessive agency risks.
RISK-020,Security,AI discloses sensitive data or cross-user information,Medium,Critical,Canary data appears; tenant isolation test fails; provider/patient records in prompts/logs,Data minimization; tenant isolation; retrieval ACLs; prompt/log redaction; no training use without agreement; evaluation,Shut down feature; revoke access; incident response; vendor escalation; delete affected data where possible,AI safety lead + privacy/security,No personalized AI before isolation and leakage tests pass,Anonymous public-corpus search only,OPEN,NIST/WHO/OWASP governance baseline.
RISK-021,Security,WordPress/plugin/theme vulnerability or supply-chain compromise,High,Critical,Unsupported versions; critical CVEs; excessive plugins; admin anomalies; file changes,Version/SBOM inventory; minimal vetted plugins; rapid patching; WAF; least privilege; code review; staging; backups,Isolate site; restore clean backup; patch/remove component; rotate credentials; forensic review,Engineering + security,No major feature launch without dependency/security review,Replace plugin with controlled code or vendor; temporarily disable feature,OPEN,Live stack versions and plugin inventory are OWNER DATA REQUIRED.
RISK-022,Security,"Backups, disaster recovery or deployment rollback fail",Medium,Critical,Restore tests fail; backups share failure domain; undocumented deployment,Encrypted immutable/offsite backups; restore drills; infrastructure/config as code; rollback runbook,Activate incident/DR; rebuild from clean environment; manual service continuity,Engineering + security,No transactional/sensitive data launch before successful restore test,Operate request-only/manual fallback and maintenance mode,OPEN,Architecture audit pending.
RISK-023,Marketplace,Insufficient verified provider supply creates empty/doorway pages and poor matching,High,Critical,Low providers per specialty/city; high no-match rate; stale profiles,Anchor-supply acquisition before public listings; minimum inventory thresholds; staged vertical/geography launch,Noindex/hold thin listings; widen region transparently; concierge/manual matching; recruit supply,Provider acquisition lead,No specialty/location page before supply threshold and response SLA,Launch national guides and request-based concierge for limited wedges,OPEN,Supply inventory is OWNER DATA REQUIRED.
RISK-024,Marketplace,"Providers respond slowly, reject leads or lack real capacity",High,High,Low contact/acceptance; long first-response; high expiry; complaints,Capacity fields; acceptance workflow; routing order; SLA; pause/full states; response scorecard,Reroute with consent; replace lead per policy; suspend low-response providers; manual coordination,Lead operations lead,No paid lead scale until acceptance and response thresholds are met,Default single-provider route; maximum-three comparison route only when justified,OPEN,Operational event data pending.
RISK-025,Marketplace,"Duplicate, low-quality or misrouted leads create disputes and refunds",High,High,High duplicate/rejection/refund rate; mismatch reasons; provider churn,Clear qualified-lead definition; dedupe; eligibility rules; consent; routing logs; replacement policy,Investigate event trail; credit/refund per published contract; tune matching; training,Lead operations + revenue operations,No fee model before definitions/contracts/event tracking,Subscription or concierge pilot instead of per-lead billing,OPEN,CRM/contract data pending.
RISK-026,Marketplace,Appointment availability is claimed but not real or synchronized,High,High,Booked slots rejected; double bookings; high reschedule/cancel; stale timestamps,Use 'request' label unless real integration; timestamped slots; confirmation states; calendar failure monitoring,Apologize/reroute; suppress provider slots; revert to request-based flow; compensate per policy,Product + provider operations,No 'real-time availability' claim without tested integration and SLA,Request-based booking with human confirmation,OPEN,Current public page does not prove availability.
RISK-027,Marketplace,Marketplace chicken-and-egg causes high burn before liquidity,High,Critical,Acquisition cost rises; low matches; weak repeat; broad verticals all under-supplied,Start with 2–3 evidence-backed wedges; anchor partners; local density; measure match/response/unit economics,Stop weak wedges; concentrate demand/supply; shift to subscription/content/concierge revenue,GM + marketplace lead,Expansion only after wedge thresholds and payback evidence,Maintain authority content while delaying transaction expansion,OPEN,Foundation recommendation.
RISK-028,Commerce,"Returns, warranties, installation and service overwhelm B2C/B2B operations",High,High,"High support tickets, delays, damaged goods, warranty disputes, negative reviews",Category-level operating model; supplier SLA; service network; clear returns; RMA tracking; assisted high-ticket sales,Pause affected category/supplier; outsource service; refunds/replacements; revise terms,Commerce operations lead,No category launch without owner for after-sales lifecycle,Use referral/curated partner model instead of taking merchant-of-record risk,OPEN,Supplier/margin/fulfillment data pending.
RISK-029,Commerce,Inventory working capital and obsolescence create cash loss,Medium,High,Slow turns; stock aging; recalls/model changes; cash conversion worsens,Start marketplace/dropship/affiliate; demand validation; SKU limits; purchase controls; supplier terms,Markdown/return stock where lawful; stop reorders; switch model; reserve for write-down,CFO + commerce lead,No owned inventory without SKU economics and working-capital approval,Curated marketplace or quote model,OPEN,Financial model pending.
RISK-030,Commerce,"Payment fraud, chargebacks or invoice/tax errors",Medium,High,Chargeback spikes; mismatched identities; failed invoices; reconciliation gaps,3DS/risk controls; verified professional buyers for B2B; invoice/tax design; reconciliation; transaction limits,Hold/refund; dispute evidence; block accounts; processor escalation; accounting correction,Finance + commerce ops + security,No checkout before fraud/tax/invoice sign-off,Manual invoice/quote for high-ticket B2B,OPEN,Israeli payments/tax research and owner processor data pending.
RISK-031,Regulation,Prescription-drug commerce or pharmacy integration lacks an exact licensed model,Medium,Critical,Product roadmap assumes checkout; no pharmacy license/partner; unclear prescription handling,Information/reference first; official drug sources; qualified pharmacy/legal review; licensed partner contract,Disable commerce/availability; remove claims; redirect to licensed professional guidance,Compliance + pharmacy adviser,No prescription transaction feature without written model approval,Authoritative medicine reference only,OPEN,Explicit owner-brief prohibition.
RISK-032,Regulation,"Medical-device classification, registration or claims are wrong",High,Critical,Missing/expired status; marketing claim exceeds intended use; professional-only product sold to consumer,Product-level status/claims ledger; qualified device expert; supplier documentation; monitoring,Delist; stop sales/leads; notify buyers/advisers; recall/escalation where required,Device compliance owner,No commercial availability without verified status for exact model/use,Educational category pages with official links only,OPEN,AMAR/device source set queued.
RISK-033,Regulation,"Medical advertising, testimonials, reviews or professional-title claims breach Israeli rules",Medium,Critical,Complaints; regulator contact; unsupported specialty/quality/outcome language,Legal advertising checklist; approved copy patterns; title verification; sponsor labels; testimonial/media controls,Remove/correct claim; suspend campaign/profile; preserve evidence; legal response,Compliance + medical governance + marketing,No campaign/template launch without legal sign-off by risk class,Neutral factual discovery and education,OPEN,Qualified Israeli legal review required.
RISK-034,Regulation,Privacy Protection Law Amendment 13 obligations are misinterpreted,Medium,Critical,Unclear controller/holder/processor roles; missing notices/register; adviser disagreement,Map operating roles/data flows; use official consolidated text/guidance; obtain qualified Israeli privacy advice,Pause affected processing; remediate notices/contracts/security/rights processes; incident response,Privacy officer + counsel,No sensitive feature launch until applicability checklist signed,Anonymous/minimal-data services only,OPEN,"Wave 0 deliberately gives checklist, not legal conclusion."
RISK-035,AI,"General-purpose LLM gives diagnosis, triage, treatment, medication or image-analysis advice",Medium,Critical,Red-team prompts elicit clinical recommendations; users rely on output; safety escalations,Scope blocks; risk classifier; refusal/escalation; public-corpus RAG only for education; human review; regulated vendor boundary,Disable feature; publish correction/warning; incident review; notify advisers/users as appropriate,AI safety review board + medical governance,"No M4 AI launch without regulated model, validation and safety case",Citation-grounded navigation and administrative assistance only,OPEN,Owner brief explicitly prohibits general-purpose clinical LLM use.
RISK-036,AI,AI hallucination or citation mismatch corrupts public content or provider/product data,High,High,Unsupported statements; broken citations; wrong provider/device facts; low evaluation scores,Grounded retrieval; source locking; structured data; per-claim citation; human approval; automated contradiction/freshness tests,Retract/correct; disable generation path; audit corpus/model/version; add regression test,AI safety lead + editorial/data owners,No autonomous publication or data mutation,Draft-only assistant with mandatory review,OPEN,NIST/WHO governance and claim-ledger controls.
RISK-037,AI,"Vendor/model lock-in compromises portability, cost or governance",Medium,High,Proprietary prompts/data/tools; no export; price shocks; performance tied to one model,Provider-neutral orchestration; standardized retrieval/data; eval suite; contract exit/export; dual-provider plan,Migrate model/vendor using eval baseline; degrade to search/manual operations,CTO + procurement,No strategic data stored only in vendor-specific format,Open standards and WordPress/GitHub-controlled source of truth,OPEN,Portability is a core owner constraint.
RISK-038,3D/Media,Patient-specific aesthetic simulation implies guaranteed outcome or mishandles biometric imagery,Medium,Critical,Users/providers treat simulation as prediction; no consent/retention control; complaints,Separate education from prediction; licensed vendor; consent; disclaimer; standardized capture; deletion; clinician-led consultation,Disable simulation; purge data; correct marketing; provider suspension; legal/privacy incident response,3D product owner + privacy + medical governance,No patient-specific simulation without full safety/privacy/legal sign-off,Educational 3D anatomy/procedure assets only,OPEN,High-risk distinction in owner brief.
RISK-039,Performance,"Heavy media, search, commerce or 3D degrades Core Web Vitals and mobile conversion",High,High,LCP/INP/CLS regressions; high mobile abandonment; asset weight exceeds budget,Performance budgets; selective interactivity; optimized images/video/glTF; CDN; lazy load; real-user monitoring,Disable/defer heavy modules; compress assets; simplify templates; cache/query optimization,Engineering + UX,No release if agreed performance budget fails on representative mobile devices,Still/video fallback; server-rendered core journey,OPEN,Technical architecture pending.
RISK-040,Accessibility,"Hebrew RTL, forms, comparison, booking, commerce or 3D are inaccessible",High,High,Keyboard/screen-reader failures; focus order wrong in RTL; unlabeled errors; complaints,WCAG 2.2 target; accessible component system; Hebrew/RTL testing; alternatives for media/3D; audits,Hotfix blockers; provide accessible alternative; remediation plan; user support,Accessibility owner + UX + engineering,No public release with critical accessibility failures,Simpler accessible HTML flow/manual assistance,OPEN,WCAG 2.2 baseline; Israeli legal scope pending.
RISK-041,Operations,Over-expansion across 36 workstreams burns capital before evidence or operating capacity,High,Critical,Many partial launches; low-quality content; weak supply; missed SLAs; cash runway falls,Wave gates; portfolio scoring; 2–3 wedge pilots; owner decisions; kill criteria; capacity-based plans,Stop unfunded features/verticals; concentrate team; renegotiate vendors; preserve core assets,Owner/GM + board,"No next phase without evidence, capacity and budget gate",Authority platform + one validated revenue engine,OPEN,Central pre-mortem conclusion.
RISK-042,Finance,Unit economics are built on invented benchmarks or untracked funnel events,High,Critical,Model lacks source/assumption labels; definitions differ; revenue/refunds not reconciled,Source/assumption/sensitivity separation; event dictionary; cohort data; low/base/high scenarios; finance sign-off,Rebuild model; freeze scaling; run paid/supply pilots; improve instrumentation,CFO + analytics + GM,No scale investment without reconciled unit economics,Use capped pilots and milestone funding,OPEN,24_FINANCIAL_MODEL.xlsx is intentionally pending.
RISK-043,Brand,"A privacy, medical, provider, review or fulfillment incident damages national trust",Medium,Critical,"Complaint volume, press/social escalation, partner churn, branded-search sentiment decline",Transparent policies; incident ownership; training; audits; escalation; corrections; support SLAs,Incident command; factual communication; user remediation; independent review; corrective actions,GM + communications + relevant risk owner,Board-level incident thresholds and response plan required before scale,Pause affected vertical/feature while core knowledge portal remains available,OPEN,"Trust is a prerequisite, not a marketing layer."
RISK-044,Analytics,"KPI optimization rewards lead volume over safety, relevance, consent or user value",High,High,Lead volume rises while refunds/complaints/no-shows or provider churn worsen,North-star plus guardrails; quality/risk KPIs; provider/user outcomes; no sensitive data in analytics,Change incentives; stop experiment; refund/repair; revise scorecards and compensation,Analytics lead + GM + compliance,No experiment without quality and risk metrics,"Optimize qualified matches, verified supply and resolved user tasks instead",OPEN,KPI tree pending Wave 8.
RISK-045,Data,"Provider, product, price and terminology entities lack stable IDs/versioning/provenance",High,High,Duplicates; broken relationships; conflicting prices/status; AI retrieval errors,Canonical IDs; source/version fields; change history; dedupe; ownership and stewardship,Data cleanup; merge with audit trail; suppress uncertain fields; rebuild indexes,Data/product lead,No scaled listings or AI retrieval before entity model and stewardship exist,Manual curated cohort,OPEN,Ontology and product/provider data models pending Waves 4–6.
RISK-046,Legal/Commercial,Refund/replacement/lead contracts conflict with site promises or operating reality,Medium,High,Provider disputes; inconsistent credits; consumer complaints; revenue leakage,"Definitions, SLAs, acceptance/rejection, expiry, duplicates, replacement/refund terms and audit trail",Apply fair interim policy; reconcile accounts; amend contracts/content; retrain sales/ops,Revenue operations + counsel,No per-lead/booking fee before contract and event model sign-off,Subscription or pilot service fee,OPEN,Owner contracts and CRM data pending.
RISK-047,Partnerships,Anchor hospital/clinic/supplier partners demand exclusivity or influence editorial decisions,Medium,High,Contract terms constrain neutrality; content changes tied to commercial deal,Editorial independence clause; conflict disclosure; diversified supply; governance review,Reject/renegotiate; disclose; recuse; diversify partners,GM + editorial board + counsel,No strategic partnership that compromises ranking/editorial independence,Non-exclusive pilot with clear data/service scope,OPEN,Category-leader ambition depends on trust and neutral methodology.
